frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
43,1.43,NL,player,66,0.54,587,0,631,84
44,1.47,NL,player,2,0.82,1585,1,1746,226
44,1.47,NL,player,3,0.85,414,63,520,248
44,1.47,NL,player,4,0.71,114,331,323,559
44,1.47,NL,player,6,0.64,226,69,318,234
44,1.47,NL,player,7,0.66,76,400,301,640
44,1.47,NL,player,12,0.46,636,0,683,60
44,1.47,NL,player,25,0.46,85,180,196,285
44,1.47,NL,player,66,0.45,587,0,632,85
45,1.5,NL,player,2,0.81,1585,0,1746,227
45,1.5,NL,player,3,0.81,421,64,527,248
45,1.5,NL,player,4,0.72,113,329,323,558
45,1.5,NL,player,6,0.64,225,69,318,234
45,1.5,NL,player,12,0.45,636,0,683,60
45,1.5,NL,player,25,0.48,85,180,197,286
45,1.5,NL,player,66,0.47,585,0,631,85
45,1.5,NL,player,74,0.7,34,398,277,642
45,1.5,NL,player,1,0.94,1353,663,1602,887
46,1.53,NL,player,2,0.82,1586,0,1746,227
46,1.53,NL,player,3,0.82,425,64,531,248
46,1.53,NL,player,4,0.74,113,327,323,558
46,1.53,NL,player,6,0.64,225,69,318,234
46,1.53,NL,player,12,0.46,636,0,682,60
46,1.53,NL,player,25,0.49,85,180,197,286
46,1.53,NL,player,66,0.58,581,0,629,87
46,1.53,NL,player,74,0.78,36,394,284,643
46,1.53,NL,player,1,0.94,1365,667,1622,887
47,1.57,NL,player,2,0.82,1585,0,1746,226
47,1.57,NL,player,3,0.78,428,64,534,248
47,1.57,NL,player,4,0.74,110,326,322,558
47,1.57,NL,player,6,0.64,225,69,318,234
47,1.57,NL,player,12,0.5,635,0,682,60
47,1.57,NL,player,25,0.5,84,180,197,286
47,1.57,NL,player,9,0.52,1464,0,1541,102
47,1.57,NL,player,66,0.63,577,0,626,88
47,1.57,NL,player,74,0.77,37,393,286,643
47,1.57,NL,player,1,0.95,1378,670,1642,889
48,1.6,NL,player,2,0.82,1586,0,1746,226
48,1.6,NL,player,3,0.72,428,64,535,248
48,1.6,NL,player,4,0.74,111,327,321,557
48,1.6,NL,player,6,0.64,225,69,318,234
48,1.6,NL,player,12,0.49,636,0,683,60
48,1.6,NL,player,25,0.48,84,180,198,286
48,1.6,NL,player,9,0.56,1466,0,1543,103
48,1.6,NL,player,66,0.58,576,0,625,89
48,1.6,NL,player,74,0.75,39,395,286,642
48,1.6,NL,player,1,0.94,1389,675,1661,893
49,1.63,NL,player,2,0.82,1586,0,1747,226
49,1.63,NL,player,3,0.61,429,63,537,247
49,1.63,NL,player,4,0.72,114,329,321,556
49,1.63,NL,player,6,0.64,226,70,318,234
49,1.63,NL,player,12,0.53,636,0,684,61
49,1.63,NL,player,25,0.5,84,180,198,287
49,1.63,NL,player,9,0.58,1466,0,1543,101
49,1.63,NL,player,66,0.65,574,0,625,89
49,1.63,NL,player,74,0.76,37,390,288,642
49,1.63,NL,player,1,0.94,1404,681,1677,893
50,1.67,NL,player,2,0.83,1586,0,1747,226
50,1.67,NL,player,4,0.73,117,332,320,555
50,1.67,NL,player,6,0.65,226,71,318,234
