frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2,global_id
69,2.3,FL,player,2,0.88,353,510,479,740,43
69,2.3,FL,player,3,0.88,1570,408,1672,594,75
69,2.3,FL,player,8,0.77,573,381,647,539,-1
69,2.3,FL,player,9,0.77,468,393,534,576,28
69,2.3,FL,player,34,0.45,571,381,622,546,85
69,2.3,FL,player,42,0.76,510,382,579,564,-1
70,2.34,FL,player,2,0.89,354,509,480,739,43
70,2.34,FL,player,3,0.88,1571,408,1672,594,75
70,2.34,FL,player,8,0.76,571,380,647,540,-1
70,2.34,FL,player,9,0.79,467,393,534,577,28
70,2.34,FL,player,42,0.76,510,382,580,565,-1
71,2.37,FL,player,2,0.88,354,508,481,740,43
71,2.37,FL,player,3,0.87,1572,409,1671,594,75
71,2.37,FL,player,8,0.74,570,380,646,540,-1
71,2.37,FL,player,9,0.8,466,392,534,578,28
71,2.37,FL,player,42,0.75,509,382,580,568,-1
72,2.4,FL,player,2,0.88,355,507,483,741,43
72,2.4,FL,player,3,0.87,1573,411,1670,594,75
72,2.4,FL,player,8,0.73,569,380,646,540,-1
72,2.4,FL,player,9,0.8,466,392,534,578,28
72,2.4,FL,player,34,0.52,569,379,620,547,85
72,2.4,FL,player,42,0.75,508,382,580,568,-1
72,2.4,FL,player,47,0.57,271,373,345,541,-1
73,2.44,FL,player,2,0.87,357,506,485,742,43
73,2.44,FL,player,8,0.73,569,380,645,539,-1
73,2.44,FL,player,9,0.81,466,392,534,578,28
